41 91
G Y B G R G Y G Y B G G G G Y Y R G Y R G Y B G G B B Y G G R G R B G G G G R G
2 1
1 6 Y
1 7 G
2 12 G
3 6 G
3 8 R
4 3 R
4 11 G
5 2 G
5 4 Y
5 11 B
5 12 G
6 9 G
7 6 Y
7 13 G
8 1 G
8 7 Y
8 9 R
9 4 R
9 10 G
9 15 G
10 3 R
10 5 G
10 16 G
11 10 G
11 16 Y
11 17 Y
12 11 B
13 8 B
13 14 Y
14 8 Y
14 9 Y
14 15 G
14 20 R
15 8 G
15 21 G
16 15 R
16 21 R
16 23 Y
17 22 R
17 23 G
18 11 G
19 13 G
19 14 B
20 19 G
20 27 Y
21 20 G
21 26 G
22 15 Y
22 21 R
22 23 B
22 27 B
23 28 B
23 29 G
24 17 B
25 19 Y
26 19 R
26 20 Y
26 25 R
26 31 B
26 32 Y
27 21 Y
27 26 B
27 33 R
28 29 B
28 34 G
29 22 G
29 24 B
29 34 Y
30 35 Y
30 36 B
31 25 B
32 27 G
32 37 G
32 38 G
33 26 Y
33 32 G
33 38 R
34 33 G
34 35 R
35 29 R
35 40 R
35 41 G
36 29 B
36 35 G
36 41 B
37 31 G
38 31 R
38 37 B
38 39 G
39 34 G
40 33 R
