40 95
R Y Y R Y Y Y G Y Y R Y G Y R Y R R R Y Y R B Y R B R R Y R R Y Y G Y Y B Y Y
2 1
1 8 Y
2 5 R
3 8 R
3 10 Y
4 3 R
4 9 Y
5 10 R
6 1 G
6 3 B
6 9 B
7 1 B
7 6 G
7 8 Y
8 6 B
8 9 Y
8 13 Y
9 3 Y
9 15 B
9 16 B
10 4 R
10 15 R
10 17 Y
11 2 G
11 4 G
11 5 Y
11 10 G
11 18 R
12 11 R
13 7 G
13 14 R
13 20 Y
14 7 Y
14 9 R
14 20 B
14 21 Y
15 14 B
15 16 R
15 21 R
16 10 R
16 11 G
16 22 R
16 23 G
17 16 Y
17 18 B
17 23 Y
18 12 Y
18 23 R
19 13 G
19 26 B
20 19 B
20 25 G
20 26 Y
21 16 Y
21 22 Y
22 15 R
22 17 B
22 29 B
23 29 Y
24 18 Y
24 23 Y
25 32 Y
26 21 Y
26 25 B
26 31 G
26 32 R
27 20 R
27 22 Y
27 32 G
27 34 G
28 21 B
28 22 R
28 29 B
28 35 R
29 24 G
29 36 Y
30 24 Y
30 29 R
30 35 Y
31 37 Y
32 31 Y
32 39 Y
33 26 R
33 27 G
33 28 R
33 34 Y
33 40 R
34 28 R
34 40 Y
35 34 R
36 30 Y
37 38 R
38 33 R
38 39 R
39 33 G
39 40 Y
