37 61
G G G G G G B B Y G G R G B R R Y B Y G Y G R G G R G G G G G G G B Y G
1 2
1 8 G
2 5 B
2 12 G
3 9 Y
4 9 G
5 11 B
6 7 G
7 13 G
8 6 G
8 15 Y
9 15 G
9 16 R
10 3 G
10 17 B
11 4 G
11 12 R
12 18 G
13 14 B
14 7 Y
14 9 R
15 10 G
15 16 Y
15 21 B
16 10 R
16 11 Y
16 21 G
17 16 G
18 17 G
18 23 B
18 24 Y
19 14 G
20 21 R
20 26 B
21 22 Y
21 26 G
21 28 G
22 15 B
22 17 G
23 17 Y
23 22 B
24 23 G
25 19 G
25 20 B
26 25 G
26 27 Y
26 31 R
27 21 Y
27 32 G
28 35 G
29 22 R
30 35 R
32 26 R
32 33 G
32 37 R
33 28 G
33 34 B
34 27 G
34 28 Y
34 29 R
35 34 G
35 36 G
